city_state_id,city_state,state_id
247,anhembi/SP,1
248,anhumas/SP,1
249,anicuns/GO,20
250,anisio de abreu/PI,13
251,anita garibaldi/SC,27
252,anitapolis/SC,27
253,anori/AM,17
254,anta gorda/RS,25
255,antas/BA,7
256,antonina do norte/CE,12
257,antonina/PR,26
258,antonio almeida/PI,13
259,antonio cardoso/BA,7
260,antonio carlos/MG,6
261,antonio carlos/SC,27
262,antonio dias/MG,6
263,antonio goncalves/BA,7
264,antonio joao/MS,24
265,antonio martins/RN,2
266,antonio olinto/PR,26
267,antonio prado de minas/MG,6
268,antonio prado/RS,25
269,aparecida d oeste/SP,1
270,aparecida de goiania/GO,20
271,aparecida do rio doce/GO,20
272,aparecida do rio negro/TO,22
273,aparecida do taboado/MS,24
274,aparecida/PB,11
275,aparecida/SP,1
276,aperibe/RJ,4
277,apiaca/ES,5
278,apiacas/MT,23
279,apiai/SP,1
280,apicum acu/MA,14
281,apiuna/SC,27
282,apodi/RN,2
283,apora/BA,7
284,apore/GO,20
285,apuarema/BA,7
286,apucarana/PR,26
287,apui/AM,17
288,apuiares/CE,12
289,aquidaba/SE,8
290,aquidauana/MS,24
291,aquiraz/CE,12
292,arabuta/SC,27
293,aracagi/PB,11
294,aracai/MG,6
295,aracaju/SE,8
296,aracariguama/SP,1
297,aracas/BA,7
298,aracati/CE,12
299,aracatu/BA,7
300,aracatuba/SP,1
301,araci/BA,7
302,aracitaba/MG,6
303,aracoiaba da serra/SP,1
304,aracoiaba/CE,12
305,aracoiaba/PE,9
306,aracruz/ES,5
307,aracu/GO,20
308,aracuai/MG,6
309,aragarcas/GO,20
310,aragoiania/GO,20
311,aragominas/TO,22
312,araguacema/TO,22
313,araguacu/TO,22
314,araguaiana/MT,23
315,araguaina/TO,22
316,araguainha/MT,23
317,araguana/MA,14
318,araguana/TO,22
319,araguapaz/GO,20
320,araguari/MG,6
321,araguatins/TO,22
322,araioses/MA,14
323,aral moreira/MS,24
324,aramari/BA,7
325,arambare/RS,25
326,arame/MA,14
327,aramina/SP,1
328,arandu/SP,1
329,arantina/MG,6
330,arapei/SP,1
331,arapiraca/AL,10
332,arapoema/TO,22
333,araponga/MG,6
334,arapongas/PR,26
335,arapora/MG,6
336,arapoti/PR,26
337,arapua/MG,6
338,arapua/PR,26
339,araputanga/MT,23
340,araquari/SC,27
341,arara/PB,11
342,ararangua/SC,27
343,araraquara/SP,1
344,araras/SP,1
345,ararenda/CE,12
346,arari/MA,14
347,ararica/RS,25
348,araripe/CE,12
349,araripina/PE,9
350,araruama/RJ,4
351,araruna/PB,11
352,araruna/PR,26
353,arataca/BA,7
354,aratiba/RS,25
355,aratuba/CE,12
356,aratuipe/BA,7
357,araua/SE,8
358,araucaria/PR,26
359,araujos/MG,6
360,araxa/MG,6
361,arceburgo/MG,6
362,arco iris/SP,1
363,arcos/MG,6
364,arcoverde/PE,9
365,areado/MG,6
366,areal/RJ,4
367,arealva/SP,1
368,areia branca/RN,2
369,areia branca/SE,8
370,areia de baraunas/PB,11
371,areia/PB,11
372,areial/PB,11
373,areias/SP,1
374,areiopolis/SP,1
375,arenapolis/MT,23
376,arenopolis/GO,20
377,ares/RN,2
378,argirita/MG,6
379,aricanduva/MG,6
380,arinos/MG,6
381,aripuana/MT,23
382,ariquemes/RO,21
383,ariranha do ivai/PR,26
384,ariranha/SP,1
385,armacao dos buzios/RJ,4
386,armazem/SC,27
387,arneiroz/CE,12
388,aroazes/PI,13
389,aroeiras do itaim/PI,13
390,aroeiras/PB,11
391,arraial do cabo/RJ,4
392,arraial/PI,13
393,arraias/TO,22
394,arroio do meio/RS,25
395,arroio do padre/RS,25
396,arroio do sal/RS,25
397,arroio do tigre/RS,25
398,arroio dos ratos/RS,25
399,arroio grande/RS,25
400,arroio trinta/SC,27
401,artur nogueira/SP,1
402,aruana/GO,20
403,aruja/SP,1
404,arvoredo/SC,27
405,arvorezinha/RS,25
406,ascurra/SC,27
407,aspasia/SP,1
408,assai/PR,26
409,assare/CE,12
410,assis brasil/AC,3
411,assis chateaubriand/PR,26
412,assis/SP,1
413,assuncao do piaui/PI,13
414,assuncao/PB,11
415,astolfo dutra/MG,6
416,astorga/PR,26
417,atalaia do norte/AM,17
418,atalaia/AL,10
419,atalaia/PR,26
420,atalanta/SC,27
421,ataleia/MG,6
422,atibaia/SP,1
423,atilio vivacqua/ES,5
424,augustinopolis/TO,22
425,augusto correa/PA,15
426,augusto de lima/MG,6
427,augusto pestana/RS,25
428,aurea/RS,25
429,aurelino leal/BA,7
430,auriflama/SP,1
431,aurilandia/GO,20
432,aurora do para/PA,15
433,aurora do tocantins/TO,22
434,aurora/CE,12
435,aurora/SC,27
436,autazes/AM,17
437,avai/SP,1
438,avanhandava/SP,1
439,avare/SP,1
440,aveiro/PA,15
441,avelino lopes/PI,13
442,avelinopolis/GO,20
443,axixa do tocantins/TO,22
444,axixa/MA,14
445,babaculandia/TO,22
446,bacabal/MA,14
447,bacabeira/MA,14
448,bacuri/MA,14
449,bacurituba/MA,14
450,bady bassitt/SP,1
451,baependi/MG,6
452,bage/RS,25
453,bagre/PA,15
454,baia da traicao/PB,11
455,baia formosa/RN,2
456,baianopolis/BA,7
457,baiao/PA,15
458,baixa grande do ribeiro/PI,13
459,baixa grande/BA,7
460,baixio/CE,12
461,baixo guandu/ES,5
462,balbinos/SP,1
463,baldim/MG,6
464,baliza/GO,20
465,balneario arroio do silva/SC,27
466,balneario barra do sul/SC,27
467,balneario camboriu/SC,27
468,balneario gaivota/SC,27
469,balneario picarras/SC,27
470,balneario pinhal/RS,25
471,balneario rincao/SC,27
472,balsa nova/PR,26
473,balsamo/SP,1
474,balsas/MA,14
475,bambui/MG,6
476,banabuiu/CE,12
477,bananal/SP,1
478,bananeiras/PB,11
479,bandeira do sul/MG,6
480,bandeira/MG,6
481,bandeirante/SC,27
482,bandeirantes do tocantins/TO,22
483,bandeirantes/MS,24
484,bandeirantes/PR,26
485,bannach/PA,15
486,banzae/BA,7
487,barao de antonina/SP,1
488,barao de cocais/MG,6
489,barao de cotegipe/RS,25
490,barao de grajau/MA,14
491,barao de melgaco/MT,23
492,barao de monte alto/MG,6
493,barao do triunfo/RS,25
494,barao/RS,25
495,barauna/PB,11
496,barauna/RN,2
497,barbacena/MG,6
498,barbalha/CE,12
499,barbosa ferraz/PR,26
500,barbosa/SP,1
501,barcarena/PA,15
502,barcelona/RN,2
503,barcelos/AM,17
504,bariri/SP,1
505,barra bonita/SC,27
506,barra bonita/SP,1
507,barra d alcantara/PI,13
508,barra da estiva/BA,7
509,barra de guabiraba/PE,9
510,barra de santa rosa/PB,11
511,barra de santana/PB,11
512,barra de santo antonio/AL,10
513,barra de sao francisco/ES,5
514,barra de sao miguel/AL,10
515,barra de sao miguel/PB,11
516,barra do bugres/MT,23
517,barra do chapeu/SP,1
518,barra do choca/BA,7
519,barra do corda/MA,14
520,barra do garcas/MT,23
521,barra do guarita/RS,25
522,barra do jacare/PR,26
523,barra do mendes/BA,7
524,barra do ouro/TO,22
525,barra do pirai/RJ,4
526,barra do quarai/RS,25
527,barra do ribeiro/RS,25
528,barra do rio azul/RS,25
529,barra do rocha/BA,7
530,barra do turvo/SP,1
531,barra dos coqueiros/SE,8
532,barra funda/RS,25
533,barra longa/MG,6
534,barra mansa/RJ,4
535,barra velha/SC,27
536,barra/BA,7
537,barracao/PR,26
538,barracao/RS,25
539,barras/PI,13
540,barreira/CE,12
541,barreiras do piaui/PI,13
542,barreiras/BA,7
543,barreirinha/AM,17
544,barreirinhas/MA,14
545,barreiros/PE,9
546,barretos/SP,1
547,barrinha/SP,1
548,barro alto/BA,7
549,barro alto/GO,20
550,barro duro/PI,13
551,barro preto/BA,7
552,barro/CE,12
553,barrocas/BA,7
554,barrolandia/TO,22
555,barroquinha/CE,12
556,barros cassal/RS,25
557,barroso/MG,6
558,barueri/SP,1
559,bastos/SP,1
560,bataguassu/MS,24
561,batalha/AL,10
562,batalha/PI,13
563,batatais/SP,1
564,bataypora/MS,24
565,baturite/CE,12
566,bauru/SP,1
567,bayeux/PB,11
568,bebedouro/SP,1
569,beberibe/CE,12
570,bela cruz/CE,12
571,bela vista da caroba/PR,26
572,bela vista de goias/GO,20
573,bela vista de minas/MG,6
574,bela vista do maranhao/MA,14
575,bela vista do paraiso/PR,26
576,bela vista do piaui/PI,13
577,bela vista do toldo/SC,27
578,bela vista/MS,24
579,belagua/MA,14
580,belem de maria/PE,9
581,belem do brejo do cruz/PB,11
582,belem do piaui/PI,13
583,belem do sao francisco/PE,9
584,belem/AL,10
585,belem/PA,15
586,belem/PB,11
587,belford roxo/RJ,4
588,belmiro braga/MG,6
589,belmonte/BA,7
590,belmonte/SC,27
591,belo campo/BA,7
592,belo horizonte/MG,6
593,belo jardim/PE,9
594,belo monte/AL,10
595,belo oriente/MG,6
596,belo vale/MG,6
597,belterra/PA,15
598,beneditinos/PI,13
599,benedito leite/MA,14
600,benedito novo/SC,27
601,benevides/PA,15
602,benjamin constant do sul/RS,25
603,benjamin constant/AM,17
604,bento de abreu/SP,1
605,bento fernandes/RN,2
606,bento goncalves/RS,25
607,bequimao/MA,14
608,berilo/MG,6
609,berizal/MG,6
610,bernardino batista/PB,11
611,bernardino de campos/SP,1
612,bernardo do mearim/MA,14
613,bernardo sayao/TO,22
614,bertioga/SP,1
615,bertolinia/PI,13
616,bertopolis/MG,6
617,beruri/AM,17
618,betania do piaui/PI,13
619,betania/PE,9
620,betim/MG,6
621,bezerros/PE,9
622,bias fortes/MG,6
623,bicas/MG,6
624,biguacu/SC,27
625,bilac/SP,1
626,biquinhas/MG,6
627,birigui/SP,1
628,biritiba mirim/SP,1
629,biritinga/BA,7
630,bituruna/PR,26
631,blumenau/SC,27
632,boa esperanca do iguacu/PR,26
633,boa esperanca do sul/SP,1
634,boa esperanca/ES,5
635,boa esperanca/MG,6
636,boa esperanca/PR,26
637,boa hora/PI,13
638,boa nova/BA,7
639,boa ventura de sao roque/PR,26
640,boa ventura/PB,11
641,boa viagem/CE,12
642,boa vista da aparecida/PR,26
643,boa vista das missoes/RS,25
644,boa vista do burica/RS,25
645,boa vista do cadeado/RS,25
646,boa vista do gurupi/MA,14
647,boa vista do incra/RS,25
648,boa vista do ramos/AM,17
649,boa vista do sul/RS,25
650,boa vista do tupim/BA,7
651,boa vista/PB,11
652,boa vista/RR,18
653,boca da mata/AL,10
654,boca do acre/AM,17
655,bocaina de minas/MG,6
656,bocaina do sul/SC,27
657,bocaina/PI,13
658,bocaina/SP,1
659,bocaiuva do sul/PR,26
660,bocaiuva/MG,6
661,bodo/RN,2
662,bodoco/PE,9
663,bodoquena/MS,24
664,bofete/SP,1
665,boituva/SP,1
666,bom conselho/PE,9
667,bom despacho/MG,6
668,bom jardim da serra/SC,27
669,bom jardim de goias/GO,20
670,bom jardim de minas/MG,6
671,bom jardim/MA,14
672,bom jardim/PE,9
673,bom jardim/RJ,4
674,bom jesus da lapa/BA,7
675,bom jesus da penha/MG,6
676,bom jesus da serra/BA,7
677,bom jesus das selvas/MA,14
678,bom jesus de goias/GO,20
679,bom jesus do amparo/MG,6
680,bom jesus do araguaia/MT,23
681,bom jesus do galho/MG,6
682,bom jesus do itabapoana/RJ,4
683,bom jesus do norte/ES,5
684,bom jesus do oeste/SC,27
685,bom jesus do sul/PR,26
686,bom jesus do tocantins/PA,15
687,bom jesus do tocantins/TO,22
688,bom jesus dos perdoes/SP,1
689,bom jesus/PB,11
690,bom jesus/PI,13
691,bom jesus/RN,2
692,bom jesus/RS,25
693,bom jesus/SC,27
694,bom lugar/MA,14
695,bom principio do piaui/PI,13
696,bom principio/RS,25
697,bom progresso/RS,25
698,bom repouso/MG,6
699,bom retiro do sul/RS,25
700,bom retiro/SC,27
701,bom sucesso de itarare/SP,1
702,bom sucesso do sul/PR,26
703,bom sucesso/MG,6
704,bom sucesso/PB,11
705,bom sucesso/PR,26
706,bombinhas/SC,27
707,bonfim do piaui/PI,13
708,bonfim/MG,6
709,bonfim/RR,18
710,bonfinopolis de minas/MG,6
711,bonfinopolis/GO,20
712,boninal/BA,7
713,bonito de minas/MG,6
714,bonito de santa fe/PB,11
715,bonito/BA,7
716,bonito/MS,24
717,bonito/PA,15
718,bonito/PE,9
719,bonopolis/GO,20
720,boqueirao do leao/RS,25
721,boqueirao do piaui/PI,13
722,boqueirao/PB,11
723,boquim/SE,8
724,boquira/BA,7
725,bora/SP,1
726,boraceia/SP,1
727,borba/AM,17
728,borborema/PB,11
729,borborema/SP,1
730,borda da mata/MG,6
731,borebi/SP,1
732,borrazopolis/PR,26
733,bossoroca/RS,25
734,botelhos/MG,6
735,botucatu/SP,1
736,botumirim/MG,6
737,botupora/BA,7
738,botuvera/SC,27
739,bozano/RS,25
740,braco do norte/SC,27
741,braco do trombudo/SC,27
742,braga/RS,25
743,braganca paulista/SP,1
744,braganca/PA,15
745,braganey/PR,26
746,branquinha/AL,10
747,bras pires/MG,6
748,brasil novo/PA,15
749,brasilandia de minas/MG,6
750,brasilandia do sul/PR,26
751,brasilandia do tocantins/TO,22
752,brasilandia/MS,24
753,brasileia/AC,3
754,brasileira/PI,13
755,brasilia de minas/MG,6
756,brasilia/DF,19
757,brasnorte/MT,23
758,brauna/SP,1
759,braunas/MG,6
760,brazabrantes/GO,20
761,brazopolis/MG,6
762,brejao/PE,9
763,brejetuba/ES,5
764,brejinho de nazare/TO,22
765,brejinho/PE,9
766,brejinho/RN,2
