code_zip_prefix_id,code_zip_prefix
1,1037
2,1046
3,1041
4,1035
5,1012
6,1047
7,1013
8,1029
9,1011
10,1032
11,1014
12,1039
13,1024
14,1009
15,1020
16,1043
17,1050
18,1045
19,1007
20,1005
21,1017
22,1019
23,1027
24,1033
25,1006
26,1034
27,1042
28,1040
29,1026
30,1036
31,1048
32,1002
33,1031
34,1022
35,1008
36,1010
37,1003
38,1001
39,1015
40,1038
41,1016
42,1049
43,1021
44,1018
45,1044
46,1030
47,1025
48,1004
49,1023
50,1028
51,1155
52,1122
53,1150
54,1123
55,1139
56,1153
57,1104
58,1136
59,1130
60,1103
61,1156
62,1151
63,1140
64,1120
65,1106
66,1124
67,1131
68,1121
69,1141
70,1125
71,1102
72,1127
73,1137
74,1135
75,1138
76,1128
77,1109
78,1132
79,1108
80,1107
81,1154
82,1152
83,1134
84,1144
85,1129
86,1105
87,1126
88,1142
89,1133
90,1101
91,1189
92,1202
93,1230
94,1221
95,1217
96,1243
97,1203
98,1214
99,1257
100,1231
101,1216
102,1226
103,1220
104,1223
105,1213
106,1227
107,1240
108,1258
109,1222
110,1211
111,1244
112,1238
113,1204
114,1234
115,1228
116,1224
117,1229
118,1232
119,1218
120,1215
121,1239
122,1205
123,1201
124,1259
125,1210
126,1249
127,1212
128,1248
129,1233
130,1219
131,1235
132,1209
133,1236
134,1206
135,1207
136,1251
137,1242
138,1241
139,1208
140,1254
141,1255
142,1245
143,1225
144,1252
145,1237
146,1200
147,1250
148,1247
149,1246
150,1262
151,1253
152,1290
153,1256
154,1303
155,1309
156,1310
157,1323
158,1321
159,1333
160,1314
161,1331
162,1307
163,1318
164,1322
165,1308
166,1306
167,1301
168,1302
169,1312
170,1319
171,1316
172,1317
173,1313
174,1324
175,1327
176,1304
177,1332
178,1326
179,1315
180,1325
181,1329
182,1330
183,1311
184,1305
185,1320
186,1328
187,1402
188,1421
189,1403
190,1409
191,1411
192,1452
193,1423
194,1417
195,1408
196,1455
197,1401
198,1410
199,1453
200,1415
201,1416
202,1445
203,1424
204,1422
205,1419
206,1414
207,1420
208,1451
209,1446
210,1406
211,1454
212,1426
213,1413
214,1433
215,1427
216,1405
217,1435
218,1449
219,1425
